"Gene","Accuracy","AUC","AUPRC","Sensitivity","Specificity","Precision","F1_Score","MCC"
"ybcS",1,1,0,1,1,1,1,1
"acrA",1,0.5,0.5,0,1,0,0,0
"evgS",1,0.5,0.5,0,1,0,0,0
"topA",0.962962962962963,1,0,1,0.96,0.666666666666667,0.8,0.8
"mrdA",0.814814814814815,0.942307692307692,0,1,0.807692307692308,0.166666666666667,0.285714285714286,0.366899692852671
"araJ",0.925925925925926,0.5,0.5,0,0.925925925925926,0,0,0
"pcnB",0.962962962962963,0.980769230769231,0,1,0.961538461538462,0.5,0.666666666666667,0.693375245281536
"thrA",0.962962962962963,0.980769230769231,0,1,0.961538461538462,0.5,0.666666666666667,0.693375245281536
"gyrA",0.962962962962963,0.89,0.104166666666667,0.5,1,1,0.666666666666667,0.693375245281536
"mrdB",0.962962962962963,0.965277777777778,0.182539682539683,0.666666666666667,1,1,0.8,0.8
"mokC.nhaA",1,1,0,1,1,1,1,1
"yaaH",1,1,0,1,1,1,1,1
"ybaL",0.962962962962963,0.986363636363636,0.55,1,0.954545454545455,0.833333333333333,0.909090909090909,0.891882585015845
"cls",0.962962962962963,0.979166666666667,0,1,0.958333333333333,0.75,0.857142857142857,0.847791247890659
"murE",1,0.5,0.5,0,1,0,0,0
"ompF.asnS",0.851851851851852,0.5,0.5,0,0.851851851851852,0,0,0
"dgt",1,0.5,0.5,0,1,0,0,0
"secF",1,1,0,1,1,1,1,1
"ECB_00212",0.814814814814815,0.75,0.0238095238095238,0,0.846153846153846,0,0,-0.0817860820109531
"cyoA.ampG",0.777777777777778,0.5,0.5,0,0.777777777777778,0,0,0
"lon.hupB",1,1,0,1,1,1,1,1
"mraZ",1,1,0,1,1,1,1,1
"yahA",1,0.5,0.5,0,1,0,0,0
"fsr",0.925925925925926,0.5,0.5,0,0.925925925925926,0,0,0
"frmB",1,0.5,0.5,0,1,0,0,0
"ylaB",1,1,0,1,1,1,1,1
"nagD",0.814814814814815,0.5,0.5,0,0.814814814814815,0,0,0
"tig",0.962962962962963,0.980769230769231,0,1,0.961538461538462,0.5,0.666666666666667,0.693375245281536
"sbcC",0.925925925925926,0.5,0.5,0,0.925925925925926,0,0,0
"ykgE",1,0.5,0.5,0,1,0,0,0
"yahG",0.962962962962963,0.596153846153846,0.0277777777777778,0,1,0,0,0
"polB",1,0.5,0.5,0,1,0,0,0
