"Gene_ID","Gene_Name","AUC","AUPRC","Accuracy","Sensitivity","Specificity"
1,"Tem_normal",0.992696093998095,0.995047344742273,0.964912280701754,0.955223880597015,0.978723404255319
2,"Tem_low",0.996415770609319,0.987877451943042,0.93859649122807,0.952380952380952,0.935483870967742
3,"ybcS",0.840909090909091,0.415833773604763,0.982456140350877,0.75,0.990909090909091
5,"acrA",NA,NA,0.991228070175439,NA,0.991228070175439
6,"evgS",NA,NA,0.973684210526316,NA,0.973684210526316
7,"topA",0.995283018867925,0.928473622601824,0.982456140350877,1,0.981132075471698
8,"mrdA",0.90625,0.286566622706092,0.833333333333333,1,0.820754716981132
9,"araJ",0.982300884955752,0.189069783783671,0.956140350877193,1,0.955752212389381
10,"pcnB",0.995535714285714,0.820699373457766,0.982456140350877,1,0.982142857142857
11,"thrA",0.991150442477876,0.333333333333333,0.982456140350877,1,0.982300884955752
12,"gyrA",0.997727272727273,0.948857863426658,0.982456140350877,1,0.981818181818182
13,"mrdB",0.91358024691358,0.609211524596039,0.964912280701754,0.5,0.990740740740741
14,"mokC.nhaA",0.852469959946595,0.728842628236707,0.973684210526316,0.714285714285714,0.990654205607477
15,"yaaH",1,1,0.991228070175439,1,0.990990990990991
16,"ybaL",0.966646452395391,0.834259925044993,0.903508771929825,1,0.88659793814433
17,"cls",0.898705255140899,0.480455430120404,0.894736842105263,0.846153846153846,0.900990099009901
18,"murE",0.5,0.0087719298245614,0.991228070175439,0,1
19,"ompF.asnS",0.814159292035398,0.0230796716672459,0.789473684210526,1,0.787610619469027
21,"dgt",0.787610619469027,0.018530452956376,0.973684210526316,0,0.982300884955752
22,"secF",0.717717717717718,0.453141188131062,0.973684210526316,0.666666666666667,0.981981981981982
23,"ECB_00212",0.676991150442478,0.00641238697892736,0.807017543859649,0,0.814159292035398
24,"cyoA.ampG",0.663716814159292,0.00637736854676776,0.763157894736842,0,0.769911504424779
25,"lon.hupB",0.990990990990991,0.537901879626703,0.991228070175439,1,0.990990990990991
26,"mraZ",0.999332443257677,0.990217586953953,0.991228070175439,1,0.990654205607477
27,"yahA",NA,NA,1,NA,1
28,"fsr",NA,NA,0.964912280701754,NA,0.964912280701754
29,"frmB",NA,NA,1,NA,1
30,"ylaB",0.897196261682243,0.868260766804592,0.991228070175439,0.857142857142857,1
31,"nagD",0.65929203539823,0.0127137033182694,0.868421052631579,0,0.876106194690266
32,"tig",0.991150442477876,0.333333333333333,0.885964912280702,1,0.884955752212389
33,"sbcC",NA,NA,0.973684210526316,NA,0.973684210526316
34,"ykgE",0.995575221238938,0.5,0.991228070175439,1,0.991150442477876
35,"yahG",0.668141592920354,0.00630401824518275,0.991228070175439,0,1
36,"polB",NA,NA,0.982456140350877,NA,0.982456140350877
37,"kefC",NA,NA,1,NA,1
38,"pdhR",NA,NA,0.973684210526316,NA,0.973684210526316
39,"gltL",0.908482142857143,0.101231894203384,0.956140350877193,0,0.973214285714286
40,"dnaK",NA,NA,0.956140350877193,NA,0.956140350877193
41,"hfq",0.964285714285714,0.263045015127729,0.973684210526316,0.5,0.982142857142857
42,"menD",0.712389380530973,0.00609939366693639,0.973684210526316,0,0.982300884955752
43,"dnaJ",0.960176991150443,0.0896503132711172,0.93859649122807,1,0.938053097345133
44,"lpxC",0.95575221238938,0.0909090909090909,0.912280701754386,1,0.911504424778761
45,"hepA",NA,NA,0.991228070175439,NA,0.991228070175439
46,"sgrR",NA,NA,0.982456140350877,NA,0.982456140350877
47,"insL.1",NA,NA,0.973684210526316,NA,0.973684210526316
48,"spoT",0.888561320754717,0.415744696247827,0.929824561403509,0.875,0.933962264150943
49,"yfbV.ackA",0.964601769911504,0.107425794743161,0.947368421052632,1,0.946902654867257
50,"ydcD",0.70353982300885,0.0144339286872333,0.964912280701754,0,0.973451327433628
51,"mokB.trg",0.982954545454546,0.513816311948089,0.947368421052632,1,0.945454545454545
52,"rlmL",NA,NA,0.947368421052632,NA,0.947368421052632
53,"glpK",1,1,0.991228070175439,1,0.991150442477876
54,"rpoS",0.911556603773585,0.494795389641285,0.947368421052632,0.875,0.952830188679245
55,"mdtG.lpxL",NA,NA,0.87719298245614,NA,0.87719298245614
56,"mglO",0.95575221238938,0.0909090909090909,0.912280701754386,1,0.911504424778761
57,"rpoA",0.881485849056604,0.232007035623044,0.859649122807018,0.875,0.858490566037736
58,"proX",NA,NA,0.903508771929825,NA,0.903508771929825
59,"COG0428",0.95575221238938,0.0909090909090909,0.912280701754386,1,0.911504424778761
60,"miaA.hfq",NA,NA,1,NA,1
61,"lpxM",NA,NA,0.903508771929825,NA,0.903508771929825
62,"yecC",NA,NA,0.903508771929825,NA,0.903508771929825
63,"mglD",0.95575221238938,0.0909090909090909,0.912280701754386,1,0.911504424778761
64,"can.yadG",0.783185840707965,0.018740164714893,0.87719298245614,0,0.884955752212389
65,"ycaQ",0.97787610619469,0.166666666666667,0.859649122807018,1,0.858407079646018
66,"csgD.csgB",NA,NA,0.947368421052632,NA,0.947368421052632
67,"xapA",0.5,0.0087719298245614,0.991228070175439,0,1
68,"yciW",NA,NA,0.973684210526316,NA,0.973684210526316
69,"araA",0.960176991150443,0.0911316511773994,0.947368421052632,1,0.946902654867257
70,"acrB",0.993991989319092,0.868823711333665,0.894736842105263,1,0.88785046728972
71,"groL",NA,NA,0.991228070175439,NA,0.991228070175439
72,"plsX",0.951327433628319,0.0751156426109909,0.929824561403509,1,0.929203539823009
73,"fucO",0.946902654867257,0.0750959210364504,0.991228070175439,0,1
74,"yoaA",NA,NA,0.964912280701754,NA,0.964912280701754
75,"hflK",0.995535714285714,0.820699373457766,0.964912280701754,1,0.964285714285714
76,"aroA.ycaL",0.592920353982301,0.0103757212647777,0.956140350877193,0,0.964601769911504
77,"ycdR",NA,NA,0.93859649122807,NA,0.93859649122807
78,"uvrB",0.995575221238938,0.5,0.929824561403509,1,0.929203539823009
79,"nuoF",1,1,0.991228070175439,0,1
80,"gatZ",0.997641509433962,0.970779804456123,0.964912280701754,1,0.962264150943396
81,"srlR",0.986725663716814,0.25,0.956140350877193,1,0.955752212389381
82,"arcA",0.660714285714286,0.012415528179265,0.921052631578947,0,0.9375
83,"yffN",NA,NA,0.964912280701754,NA,0.964912280701754
84,"gatC",0.700892857142857,0.136176294802549,0.964912280701754,0.5,0.973214285714286
85,"ydaV",NA,NA,0.964912280701754,NA,0.964912280701754
86,"garK",NA,NA,0.93859649122807,NA,0.93859649122807
87,"rpoB",0.850705980066445,0.680387865775808,0.850877192982456,0.75,0.883720930232558
88,"udhA",NA,NA,0.964912280701754,NA,0.964912280701754
89,"marR",0.975132275132275,0.748107037055002,0.929824561403509,0.888888888888889,0.933333333333333
90,"acrR",0.960960960960961,0.232037927989356,0.947368421052632,1,0.945945945945946
91,"fis",0.841789052069426,0.441153065612967,0.93859649122807,0.714285714285714,0.953271028037383
92,"manY",NA,NA,0.973684210526316,NA,0.973684210526316
93,"kefC.folA",1,1,1,1,1
94,"polA",NA,NA,0.973684210526316,NA,0.973684210526316
95,"pyrE.rph",0.935714285714286,0.914183636994283,0.982456140350877,0.857142857142857,1
96,"kdpD",0.988839285714286,0.718465982573286,0.956140350877193,1,0.955357142857143
97,"flu",0.982300884955752,0.179300626542234,0.956140350877193,1,0.955752212389381
98,"adiY",0.982300884955752,0.179300626542234,0.973684210526316,1,0.973451327433628
99,"rpoC",0.759046778464254,0.174822919831155,0.754385964912281,0.545454545454545,0.776699029126214
100,"cbpA",NA,NA,0.973684210526316,NA,0.973684210526316
101,"lpxC.secM",NA,NA,0.973684210526316,NA,0.973684210526316
102,"pykF",0.932977913175933,0.866221646571219,0.947368421052632,0.923076923076923,0.95049504950495
103,"rne",0.991150442477876,0.333333333333333,0.964912280701754,1,0.964601769911504
104,"ahpC",NA,NA,0.87719298245614,NA,0.87719298245614
105,"clpX.lon",1,1,1,1,1
106,"fusA",0.756172839506173,0.542709476202667,0.973684210526316,0.5,1
107,"potD",NA,NA,1,NA,1
108,"rph",0.885227272727273,0.153433737840384,0.833333333333333,0.75,0.836363636363636
109,"rplD",1,1,1,1,1
110,"rplB",NA,NA,0.991228070175439,NA,0.991228070175439
111,"acrB",0.993303571428571,0.547267445945918,0.991228070175439,1,0.991071428571429
112,"ylbE",0.986725663716814,0.225346927832973,0.982456140350877,0,0.991150442477876
113,"fis",0.5,0.0087719298245614,0.991228070175439,0,1
114,"folM",1,1,1,1,1
115,"acrR",NA,NA,0.982456140350877,NA,0.982456140350877
116,"ompF",0.986607142857143,0.666666666666667,0.973684210526316,0.5,0.982142857142857
117,"ompF",1,1,1,1,1
118,"pgaA",NA,NA,0.982456140350877,NA,0.982456140350877
119,"mprA",0.991150442477876,0.306852819440055,0.991228070175439,1,0.991150442477876
120,"gyrA",1,1,0.991228070175439,1,0.991071428571429
121,"ftsI",0.986725663716814,0.225346927832973,0.982456140350877,1,0.982300884955752
122,"ompR",0.825892857142857,0.0475135469693388,0.973684210526316,0,0.991071428571429
123,"yaaJ",NA,NA,0.982456140350877,NA,0.982456140350877
124,"folA",1,1,1,1,1
125,"fusA",NA,NA,0.982456140350877,NA,0.982456140350877
126,"envZ",1,1,0.991228070175439,1,0.991071428571429
127,"rpsE",1,1,1,1,1
128,"cyoA",NA,NA,0.991228070175439,NA,0.991228070175439
129,"dcp",NA,NA,1,NA,1
130,"ylbE",NA,NA,0.991228070175439,NA,0.991228070175439
131,"trkH",0.983796296296296,0.705422375403518,0.973684210526316,1,0.972222222222222
132,"atpD",0.836283185840708,0.0258776795397815,0.973684210526316,0,0.982300884955752
133,"eutB",NA,NA,0.991228070175439,NA,0.991228070175439
134,"atpG",0.767857142857143,0.0833528098069896,0.964912280701754,0.5,0.973214285714286
135,"argS",NA,NA,0.947368421052632,NA,0.947368421052632
136,"arnC",NA,NA,0.982456140350877,NA,0.982456140350877
137,"nhaR",1,1,1,1,1
138,"ppsA",NA,NA,0.964912280701754,NA,0.964912280701754
139,"crp",0.573660714285714,0.0209914630200886,0.789473684210526,0,0.803571428571429
140,"relA",0.62012012012012,0.189268238367778,0.947368421052632,0.333333333333333,0.963963963963964
141,"nusA",0.911504424778761,0.0476190476190476,0.798245614035088,1,0.79646017699115
142,"rho",0.909198113207547,0.290262960306454,0.859649122807018,1,0.849056603773585
143,"argR",0.857142857142857,0.522291522111059,0.956140350877193,0.5,0.964285714285714
144,"entD",0.859090909090909,0.525187460698304,0.973684210526316,0.5,0.990909090909091
145,"glpR",0.926605504587156,0.500631204614022,0.964912280701754,0.8,0.972477064220184
146,"ydhA",NA,NA,0.973684210526316,NA,0.973684210526316
147,"ECB_02832",0.995535714285714,0.666666666666667,0.982456140350877,1,0.982142857142857
148,"ycdT",NA,NA,0.973684210526316,NA,0.973684210526316
149,"dacA",NA,NA,0.973684210526316,NA,0.973684210526316
150,"yddB",NA,NA,0.87719298245614,NA,0.87719298245614
151,"yneE",0.5,0.0175438596491228,0.982456140350877,0,1
152,"fabF",NA,NA,0.991228070175439,NA,0.991228070175439
153,"proQ",0.654867256637168,0.00643727192661839,0.921052631578947,0,0.929203539823009
154,"envZ",0.96605504587156,0.412359777641882,0.947368421052632,0.8,0.954128440366973
