"Gene_ID","Gene_Name","AUC","Accuracy","Sensitivity","Specificity"
1,"Tem_normal",0.987297554779295,0.956140350877193,0.940298507462687,0.978723404255319
2,"Tem_low",0.991106719367589,0.93859649122807,0.954545454545455,0.934782608695652
3,"ybcS",0.998863636363636,0.991228070175439,1,0.990909090909091
4,"proV",NA,0.982456140350877,NA,0.982456140350877
5,"acrA",0.982300884955752,0.991228070175439,0,1
6,"evgS",0.996996996996997,0.982456140350877,0.666666666666667,0.990990990990991
7,"topA",0.997685185185185,0.982456140350877,1,0.981481481481482
8,"mrdA",0.707339449541284,0.780701754385965,0.8,0.779816513761468
9,"araJ",0.955357142857143,0.947368421052632,0.5,0.955357142857143
10,"pcnB",0.979910714285714,0.964912280701754,1,0.964285714285714
11,"thrA",0.991150442477876,0.798245614035088,1,0.79646017699115
12,"gyrA",0.996330275229358,0.964912280701754,1,0.963302752293578
13,"mrdB",0.834862385321101,0.789473684210526,0.8,0.788990825688073
14,"mokC.nhaA",0.977970627503338,0.973684210526316,0.857142857142857,0.981308411214953
15,"yaaH",0.998863636363636,0.991228070175439,1,0.990909090909091
16,"ybaL",0.970083102493075,0.921052631578947,1,0.905263157894737
17,"cls",0.947115384615385,0.903508771929825,1,0.894230769230769
18,"murE",0.5,0.991228070175439,0,1
19,"ompF.asnS",0.809734513274336,0.780701754385965,1,0.778761061946903
20,"ftsW",NA,0.885964912280702,NA,0.885964912280702
21,"dgt",0.991150442477876,0.982456140350877,1,0.982300884955752
22,"secF",0.72972972972973,0.956140350877193,0.666666666666667,0.963963963963964
23,"ECB_00212",0.663716814159292,0.807017543859649,0,0.814159292035398
24,"cyoA.ampG",0.84070796460177,0.921052631578947,0,0.929203539823009
25,"lon.hupB",0.998863636363636,0.991228070175439,1,0.990909090909091
26,"mraZ",1,0.982456140350877,1,0.981981981981982
27,"yahA",NA,0.982456140350877,NA,0.982456140350877
28,"fsr",NA,0.964912280701754,NA,0.964912280701754
29,"frmB",NA,0.991228070175439,NA,0.991228070175439
30,"ylaB",0.829545454545455,0.991228070175439,0.75,1
31,"nagD",NA,0.842105263157895,NA,0.842105263157895
32,"tig",0.707589285714286,0.859649122807018,0.5,0.866071428571429
33,"sbcC",NA,0.973684210526316,NA,0.973684210526316
34,"ykgE",NA,0.973684210526316,NA,0.973684210526316
35,"yahG",NA,0.991228070175439,NA,0.991228070175439
36,"polB",NA,0.982456140350877,NA,0.982456140350877
37,"kefC",NA,1,NA,1
38,"pdhR",NA,0.973684210526316,NA,0.973684210526316
39,"gltL",0.897321428571429,0.93859649122807,0.5,0.946428571428571
40,"dnaK",NA,0.947368421052632,NA,0.947368421052632
41,"hfq",0.948660714285714,0.964912280701754,0.5,0.973214285714286
42,"menD",NA,0.947368421052632,NA,0.947368421052632
43,"dnaJ",0.97787610619469,0.973684210526316,1,0.973451327433628
44,"lpxC",NA,0.87719298245614,NA,0.87719298245614
45,"hepA",NA,0.973684210526316,NA,0.973684210526316
46,"sgrR",NA,0.973684210526316,NA,0.973684210526316
47,"insL.1",NA,0.973684210526316,NA,0.973684210526316
48,"spoT",0.943269230769231,0.93859649122807,0.9,0.942307692307692
49,"yfbV.ackA",NA,0.964912280701754,NA,0.964912280701754
50,"ydcD",NA,0.973684210526316,NA,0.973684210526316
51,"mokB.trg",0.804587155963303,0.956140350877193,0.8,0.963302752293578
52,"rlmL",0.991150442477876,0.868421052631579,1,0.867256637168142
53,"glpK",NA,1,NA,1
54,"rpoS",0.886584289496911,0.921052631578947,0.909090909090909,0.922330097087379
55,"mdtG.lpxL",0.5,0.991228070175439,0,1
56,"mglO",0.967592592592593,0.93859649122807,1,0.935185185185185
57,"rpoA",0.803303303303303,0.833333333333333,0.666666666666667,0.837837837837838
58,"proX",NA,0.87719298245614,NA,0.87719298245614
59,"COG0428",0.946902654867257,0.894736842105263,1,0.893805309734513
60,"miaA.hfq",0.610619469026549,0.982456140350877,0,0.991150442477876
61,"lpxM",NA,0.868421052631579,NA,0.868421052631579
62,"yecC",NA,0.87719298245614,NA,0.87719298245614
63,"mglD",0.950892857142857,0.903508771929825,1,0.901785714285714
64,"can.yadG",0.801136363636364,0.87719298245614,0.75,0.881818181818182
65,"ycaQ",0.995575221238938,0.87719298245614,1,0.876106194690266
66,"csgD.csgB",0.97787610619469,0.947368421052632,1,0.946902654867257
68,"yciW",NA,0.964912280701754,NA,0.964912280701754
69,"araA",NA,0.964912280701754,NA,0.964912280701754
70,"acrB",0.990740740740741,0.964912280701754,1,0.962962962962963
71,"groL",NA,0.991228070175439,NA,0.991228070175439
72,"plsX",0.944196428571429,0.956140350877193,0.5,0.964285714285714
73,"fucO",0.6875,0.991228070175439,0.5,1
74,"yoaA",NA,0.964912280701754,NA,0.964912280701754
75,"hflK",0.991150442477876,0.956140350877193,1,0.955752212389381
76,"aroA.ycaL",NA,0.87719298245614,NA,0.87719298245614
77,"ycdR",NA,0.964912280701754,NA,0.964912280701754
78,"uvrB",NA,0.93859649122807,NA,0.93859649122807
79,"nuoF",NA,1,NA,1
80,"gatZ",1,0.991228070175439,1,0.990909090909091
81,"srlR",NA,0.964912280701754,NA,0.964912280701754
82,"arcA",0.982142857142857,0.956140350877193,0.5,0.964285714285714
83,"yffN",NA,0.991228070175439,NA,0.991228070175439
84,"gatC",0.628318584070796,0.964912280701754,0,0.973451327433628
85,"ydaV",NA,0.982456140350877,NA,0.982456140350877
86,"garK",NA,0.973684210526316,NA,0.973684210526316
87,"rpoB",0.901021711366539,0.87719298245614,0.888888888888889,0.873563218390805
88,"udhA",1,0.973684210526316,1,0.973214285714286
89,"marR",0.998820754716981,0.956140350877193,1,0.952830188679245
90,"acrR",0.955045871559633,0.93859649122807,1,0.935779816513762
91,"fis",0.987316421895861,0.973684210526316,1,0.97196261682243
92,"manY",0.5,0.991228070175439,0,1
93,"kefC.folA",NA,1,NA,1
94,"polA",NA,0.973684210526316,NA,0.973684210526316
95,"pyrE.rph",0.91869212962963,0.921052631578947,0.777777777777778,0.947916666666667
96,"kdpD",0.998498498498498,0.991228070175439,1,0.990990990990991
97,"flu",0.979910714285714,0.956140350877193,1,0.955357142857143
98,"adiY",0.973451327433628,0.964912280701754,1,0.964601769911504
99,"rpoC",0.765865384615385,0.719298245614035,0.8,0.711538461538462
100,"cbpA",NA,0.982456140350877,NA,0.982456140350877
101,"lpxC.secM",NA,0.973684210526316,NA,0.973684210526316
102,"pykF",0.980141218005296,0.964912280701754,1,0.961165048543689
103,"rne",NA,0.982456140350877,NA,0.982456140350877
104,"ahpC",0.991150442477876,0.868421052631579,1,0.867256637168142
105,"clpX.lon",NA,0.973684210526316,NA,0.973684210526316
106,"fusA",0.707589285714286,0.964912280701754,0.5,0.973214285714286
107,"potD",NA,0.991228070175439,NA,0.991228070175439
108,"rph",0.896293027360988,0.859649122807018,0.636363636363636,0.883495145631068
109,"rplD",1,1,1,1
110,"rplB",0.5,0.991228070175439,0,1
111,"acrB",1,1,1,1
112,"ylbE",0.921875,0.964912280701754,0,0.982142857142857
113,"fis",NA,0.991228070175439,NA,0.991228070175439
114,"folM",NA,1,NA,1
115,"acrR",0.960176991150443,0.956140350877193,1,0.955752212389381
116,"ompF",0.975975975975976,0.929824561403509,1,0.927927927927928
117,"ompF",0.5,0.973684210526316,0,1
118,"pgaA",NA,0.956140350877193,NA,0.956140350877193
119,"mprA",NA,0.991228070175439,NA,0.991228070175439
120,"gyrA",1,1,1,1
121,"ftsI",1,1,1,1
122,"ompR",0.991150442477876,0.991228070175439,1,0.991150442477876
123,"yaaJ",0.991150442477876,0.973684210526316,1,0.973451327433628
124,"folA",NA,1,NA,1
125,"fusA",0.993993993993994,0.991228070175439,1,0.990990990990991
126,"envZ",1,1,1,1
127,"rpsE",1,1,1,1
128,"cyoA",NA,1,NA,1
129,"dcp",0.765486725663717,0.991228070175439,0,1
130,"ylbE",NA,0.973684210526316,NA,0.973684210526316
131,"trkH",0.990990990990991,0.964912280701754,1,0.963963963963964
132,"atpD",NA,0.982456140350877,NA,0.982456140350877
133,"eutB",NA,1,NA,1
134,"atpG",NA,0.973684210526316,NA,0.973684210526316
135,"argS",0.650442477876106,0.956140350877193,0,0.964601769911504
136,"arnC",NA,0.982456140350877,NA,0.982456140350877
137,"nhaR",1,1,1,1
138,"ppsA",NA,0.929824561403509,NA,0.929824561403509
139,"crp",0.884955752212389,0.771929824561403,1,0.769911504424779
140,"relA",NA,0.894736842105263,NA,0.894736842105263
141,"nusA",0.887155963302752,0.824561403508772,0.8,0.825688073394495
142,"rho",0.906349206349206,0.859649122807018,0.777777777777778,0.866666666666667
143,"argR",0.991150442477876,0.956140350877193,1,0.955752212389381
144,"entD",0.991150442477876,0.982456140350877,1,0.982300884955752
145,"glpR",0.903204272363151,0.947368421052632,0.571428571428571,0.97196261682243
146,"ydhA",NA,0.982456140350877,NA,0.982456140350877
147,"ECB_02832",0.995535714285714,0.991228070175439,1,0.991071428571429
148,"ycdT",NA,0.964912280701754,NA,0.964912280701754
149,"dacA",NA,0.964912280701754,NA,0.964912280701754
150,"yddB",0.455357142857143,0.842105263157895,0.5,0.848214285714286
151,"yneE",NA,0.850877192982456,NA,0.850877192982456
152,"fabF",0.632743362831858,0.973684210526316,0,0.982300884955752
153,"proQ",0.933628318584071,0.921052631578947,0,0.929203539823009
154,"envZ",0.922759433962264,0.921052631578947,0.875,0.924528301886792
155,"acnB",NA,0.93859649122807,NA,0.93859649122807
156,"ybjG.mdfA",NA,0.973684210526316,NA,0.973684210526316
157,"yeeP.isrC",NA,0.973684210526316,NA,0.973684210526316
158,"ydeE",NA,0.973684210526316,NA,0.973684210526316
159,"ftsI",0.986607142857143,0.964912280701754,1,0.964285714285714
160,"rob",NA,0.964912280701754,NA,0.964912280701754
161,"xdhB",NA,0.991228070175439,NA,0.991228070175439
162,"mlaD",NA,0.982456140350877,NA,0.982456140350877
163,"rbsK",0.990654205607477,0.991228070175439,1,0.990654205607477
164,"parC",0.991150442477876,0.956140350877193,1,0.955752212389381
165,"hydN",NA,0.982456140350877,NA,0.982456140350877
166,"ompR",0.995575221238938,0.763157894736842,0,0.769911504424779
167,"ccmH",0.799107142857143,0.956140350877193,0,0.973214285714286
168,"cpxR",NA,0.973684210526316,NA,0.973684210526316
169,"ypjC",NA,0.982456140350877,NA,0.982456140350877
170,"yegQ",0.92042042042042,0.982456140350877,0.666666666666667,0.990990990990991
171,"tufB",NA,1,NA,1
172,"gtrS",NA,0.973684210526316,NA,0.973684210526316
173,"pgsA",NA,0.956140350877193,NA,0.956140350877193
174,"phoQ",NA,0.87719298245614,NA,0.87719298245614
175,"ynfL",NA,0.964912280701754,NA,0.964912280701754
176,"nagC",0.97787610619469,0.93859649122807,1,0.938053097345133
177,"yedW.yedX",0.977678571428571,0.956140350877193,0.5,0.964285714285714
178,"rbsA",0.926984126984127,0.982456140350877,0.888888888888889,0.990476190476191
179,"ldrC",0.991743119266055,0.973684210526316,0.8,0.981651376146789
180,"yabN",0.5,0.991228070175439,0,1
181,"ykgK.ykgL",0.992045454545455,0.991228070175439,1,0.990909090909091
182,"yaaH.yaaW",0.995535714285714,0.991228070175439,1,0.991071428571429
183,"ECB_01992",0.922018348623853,0.815789473684211,0.8,0.81651376146789
184,"mdoG",0.893805309734513,0.973684210526316,0,0.982300884955752
185,"mreC",0.895861148197597,0.947368421052632,0.571428571428571,0.97196261682243
186,"sbmA",NA,0.93859649122807,NA,0.93859649122807
187,"ECB_00825",0.5,0.991228070175439,0,1
188,"tesB.ybaY",0.995535714285714,0.991228070175439,1,0.991071428571429
189,"cpsG",0.867156208277704,0.833333333333333,1,0.822429906542056
191,"rssB",NA,0.789473684210526,NA,0.789473684210526
192,"ybhI",NA,0.807017543859649,NA,0.807017543859649
193,"rluB",0.5,0.991228070175439,0,1
194,"dnaX",NA,0.973684210526316,NA,0.973684210526316
195,"ylbH",NA,0.964912280701754,NA,0.964912280701754
196,"sucB",NA,0.973684210526316,NA,0.973684210526316
197,"rpsA",0.944196428571429,0.807017543859649,1,0.803571428571429
199,"yccE",0.911504424778761,0.991228070175439,0,1
200,"gabD",1,0.991228070175439,1,0.990990990990991
201,"rbs",1,1,1,1
202,"ynjD",NA,0.964912280701754,NA,0.964912280701754
203,"yceA",1,1,1,1
204,"ycfH.ptsG",0.663716814159292,0.982456140350877,0,0.991150442477876
205,"rna",0.995535714285714,0.973684210526316,1,0.973214285714286
206,"galS",0.946902654867257,0.894736842105263,1,0.893805309734513
207,"ptsP",NA,0.947368421052632,NA,0.947368421052632
208,"rssA.rssB",NA,0.885964912280702,NA,0.885964912280702
209,"yejM",0.653211009174312,0.842105263157895,0.4,0.862385321100917
210,"slyD",0.946902654867257,0.868421052631579,1,0.867256637168142
211,"fnr.insH",0.929203539823009,0.87719298245614,1,0.876106194690266
212,"mfd",0.973451327433628,0.850877192982456,1,0.849557522123894
213,"metL",0.976851851851852,0.947368421052632,1,0.944444444444444
214,"gyrB",0.991150442477876,0.973684210526316,1,0.973451327433628
215,"secA",0.95575221238938,0.947368421052632,1,0.946902654867257
216,"hybB",0.957589285714286,0.973684210526316,0,0.991071428571429
217,"mdh",0.955752212389381,0.947368421052632,0,0.955752212389381
218,"hrpA",0.546546546546547,0.885964912280702,0.333333333333333,0.900900900900901
219,"prpR",NA,0.991228070175439,NA,0.991228070175439
220,"aroP",NA,0.991228070175439,NA,0.991228070175439
221,"ybeB",NA,0.964912280701754,NA,0.964912280701754
222,"ymdC",NA,0.956140350877193,NA,0.956140350877193
223,"ynjI",0.995575221238938,0.929824561403509,1,0.929203539823009
224,"dcuB.dcuR",NA,0.991228070175439,NA,0.991228070175439
225,"focA.ycaO",0.991150442477876,0.93859649122807,1,0.938053097345133
226,"gatA",NA,0.991228070175439,NA,0.991228070175439
227,"gatY.fbaB",0.922169811320755,0.850877192982456,1,0.839622641509434
228,"pntB",NA,0.982456140350877,NA,0.982456140350877
229,"fruK",NA,0.780701754385965,NA,0.780701754385965
230,"isrC",NA,0.964912280701754,NA,0.964912280701754
231,"cmr",0.995575221238938,0.947368421052632,1,0.946902654867257
232,"yedX",NA,0.956140350877193,NA,0.956140350877193
233,"pgaB",0.960176991150443,0.947368421052632,1,0.946902654867257
234,"yfgF",0.951327433628319,0.956140350877193,0,0.964601769911504
235,"hns.tdk",0.987987987987988,0.973684210526316,1,0.972972972972973
236,"yfbM",0.841517857142857,0.973684210526316,0.5,0.982142857142857
237,"dgsA",0.957957957957958,0.982456140350877,0.666666666666667,0.990990990990991
238,"fucI",0.97787610619469,0.973684210526316,1,0.973451327433628
239,"ftsX",0.991150442477876,0.964912280701754,1,0.964601769911504
240,"msbA",NA,0.964912280701754,NA,0.964912280701754
241,"mhpB",NA,0.964912280701754,NA,0.964912280701754
242,"wzzE",0.825,0.956140350877193,0.5,0.972727272727273
243,"ogrK",0.986486486486487,0.982456140350877,0.666666666666667,0.990990990990991
244,"nudE.yrfF",1,1,1,1
245,"potA",NA,0.973684210526316,NA,0.973684210526316
246,"wzc",0.5,0.991228070175439,0,1
247,"folP",NA,1,NA,1
248,"marR",NA,0.964912280701754,NA,0.964912280701754
249,"envR",NA,0.956140350877193,NA,0.956140350877193
250,"ydgI",NA,0.982456140350877,NA,0.982456140350877
251,"insK.glyS",NA,0.807017543859649,NA,0.807017543859649
252,"yaiT",NA,0.956140350877193,NA,0.956140350877193
253,"rpsL",NA,1,NA,1
254,"arcB",0.872685185185185,0.973684210526316,0.666666666666667,0.990740740740741
255,"ispF",NA,0.982456140350877,NA,0.982456140350877
256,"cyoB",0.995575221238938,0.991228070175439,1,0.991150442477876
257,"fliC",1,1,1,1
258,"cpxA",NA,0.982456140350877,NA,0.982456140350877
259,"hemA",0.5,0.991228070175439,0,1
260,"ispA",0.5,0.991228070175439,0,1
261,"thiQ",NA,0.885964912280702,NA,0.885964912280702
262,"cyaA",0.707589285714286,0.982456140350877,0.5,0.991071428571429
263,"kdtA",0.995535714285714,0.982456140350877,1,0.982142857142857
264,"pdxB",NA,0.815789473684211,NA,0.815789473684211
265,"acpP",NA,0.964912280701754,NA,0.964912280701754
266,"feoA",0.995575221238938,0.964912280701754,1,0.964601769911504
267,"flhD",0.5,0.991228070175439,0,1
268,"lldR",1,1,1,1
269,"nadR",0.973297730307076,0.964912280701754,1,0.962616822429907
270,"ilvB",NA,0.991228070175439,NA,0.991228070175439
