"Gene","Accuracy","AUC","Sensitivity","Specificity","Precision","F1_Score","MCC"
"ybcS",1,0.5,0,1,0,0,0
"proV",1,0.5,0,1,0,0,0
"acrA",1,0.5,0,1,0,0,0
"evgS",0.96,0.5,0,0.96,0,0,0
"topA",1,0.5,0,1,0,0,0
"mrdA",0.88,0.5,0,0.88,0,0,0
"araJ",1,0.5,0,1,0,0,0
"pcnB",1,0.5,0,1,0,0,0
"thrA",1,0.5,0,1,0,0,0
"gyrA",1,1,1,1,1,1,1
"mrdB",0.88,0.5,0,0.88,0,0,0
"mokC.nhaA",1,0.5,0,1,0,0,0
"yaaH",1,0.5,0,1,0,0,0
"ybaL",0.88,0.5,0,0.88,0,0,0
"cls",0.92,0.958333333333333,1,0.916666666666667,0.333333333333333,0.5,0.552770798392567
"murE",1,0.5,0,1,0,0,0
"ompF.asnS",0.88,0.5,0,0.88,0,0,0
"ftsW",0.8,0.5,0,0.8,0,0,0
"dgt",1,0.5,0,1,0,0,0
"secF",0.96,0.791666666666667,0,1,0,0,0
"ECB_00212",0.88,0.5,0,0.88,0,0,0
"cyoA.ampG",0.96,0.958333333333333,0,1,0,0,0
"lon.hupB",1,0.5,0,1,0,0,0
"mraZ",1,0.5,0,1,0,0,0
"yahA",1,0.5,0,1,0,0,0
"fsr",1,0.5,0,1,0,0,0
"frmB",1,0.5,0,1,0,0,0
"ylaB",1,0.5,0,1,0,0,0
"nagD",1,0.5,0,1,0,0,0
"tig",0.8,0.5,0,0.8,0,0,0
"sbcC",1,0.5,0,1,0,0,0
"ykgE",1,0.5,0,1,0,0,0
"yahG",1,0.5,0,1,0,0,0
"polB",1,0.5,0,1,0,0,0
"kefC",1,0.5,0,1,0,0,0
"pdhR",1,0.5,0,1,0,0,0
"gltL",0.96,0.958333333333333,0,1,0,0,0
"dnaK",1,0.5,0,1,0,0,0
"hfq",0.76,0.5,0,0.76,0,0,0
"menD",1,0.5,0,1,0,0,0
"dnaJ",1,0.5,0,1,0,0,0
"lpxC",0.8,0.5,0,0.8,0,0,0
"hepA",0.96,0.5,0,0.96,0,0,0
"sgrR",1,0.5,0,1,0,0,0
"insL.1",1,0.5,0,1,0,0,0
"spoT",1,1,1,1,1,1,1
"yfbV.ackA",0.96,0.5,0,0.96,0,0,0
"ydcD",0.96,0.5,0,0.96,0,0,0
"mokB.trg",1,0.5,0,1,0,0,0
"rlmL",0.8,0.5,0,0.8,0,0,0
"glpK",1,0.5,0,1,0,0,0
"rpoS",0.88,0.714285714285714,0.75,0.904761904761905,0.6,0.666666666666667,0.600099198148979
"mdtG.lpxL",1,0.5,0,1,0,0,0
"mglO",0.92,0.954545454545455,1,0.909090909090909,0.6,0.75,0.738548945875996
"rpoA",0.8,0.5,0,0.8,0,0,0
"proX",0.8,0.5,0,0.8,0,0,0
"COG0428",0.8,0.5,0,0.8,0,0,0
"miaA.hfq",0.96,0.625,0,1,0,0,0
"lpxM",0.8,0.5,0,0.8,0,0,0
"yecC",0.8,0.5,0,0.8,0,0,0
"mglD",0.8,0.5,0,0.8,0,0,0
"can.yadG",0.8,0.5,0,0.8,0,0,0
"ycaQ",0.8,0.5,0,0.8,0,0,0
"csgD.csgB",0.96,0.5,0,0.96,0,0,0
"yciW",1,0.5,0,1,0,0,0
"araA",1,0.5,0,1,0,0,0
"acrB",0.92,0.956521739130435,1,0.91304347826087,0.5,0.666666666666667,0.675663924692176
"groL",1,0.5,0,1,0,0,0
"plsX",1,0.5,0,1,0,0,0
"fucO",1,0.5,0,1,0,0,0
"yoaA",1,0.5,0,1,0,0,0
"hflK",1,0.5,0,1,0,0,0
"aroA.ycaL",0.8,0.5,0,0.8,0,0,0
"ycdR",1,0.5,0,1,0,0,0
"uvrB",1,0.5,0,1,0,0,0
"nuoF",1,0.5,0,1,0,0,0
"gatZ",1,1,1,1,1,1,1
"srlR",0.92,0.5,0,0.92,0,0,0
"arcA",0.96,0.5,0,0.96,0,0,0
"yffN",0.96,0.5,0,0.96,0,0,0
"gatC",0.96,0.5,0,0.96,0,0,0
"ydaV",0.96,0.5,0,0.96,0,0,0
"garK",0.92,0.5,0,0.92,0,0,0
"rpoB",0.92,0.939393939393939,0.666666666666667,0.954545454545455,0.666666666666667,0.666666666666667,0.621212121212121
"udhA",1,0.5,0,1,0,0,0
"marR",0.88,1,1,0.869565217391304,0.4,0.571428571428572,0.589767824619589
"acrR",0.92,0.934782608695652,1,0.91304347826087,0.5,0.666666666666667,0.675663924692176
"fis",1,1,1,1,1,1,1
"manY",1,0.5,0,1,0,0,0
"kefC.folA",1,0.5,0,1,0,0,0
"polA",1,0.5,0,1,0,0,0
"pyrE.rph",0.92,0.95,0.6,1,1,0.75,0.738548945875996
"kdpD",1,1,1,1,1,1,1
"flu",0.96,0.5,0,0.96,0,0,0
"adiY",0.96,0.5,0,0.96,0,0,0
"rpoC",0.88,0.909090909090909,1,0.863636363636364,0.5,0.666666666666667,0.657128740672771
"cbpA",0.96,0.5,0,0.96,0,0,0
"lpxC.secM",0.96,0.5,0,0.96,0,0,0
"pykF",1,1,1,1,1,1,1
"rne",0.96,0.5,0,0.96,0,0,0
"ahpC",0.8,0.5,0,0.8,0,0,0
"clpX.lon",1,0.5,0,1,0,0,0
"fusA",1,0.5,0,1,0,0,0
"potD",1,0.5,0,1,0,0,0
"rph",0.84,0.847826086956522,0.5,0.869565217391304,0.25,0.333333333333333,0.273483017137309
"rplD",1,0.5,0,1,0,0,0
"rplB",0.96,0.916666666666667,0,1,0,0,0
"acrB.1",1,0.5,0,1,0,0,0
"ylbE",0.96,0.958333333333333,0,1,0,0,0
"fis.1",1,0.5,0,1,0,0,0
"folM",1,0.5,0,1,0,0,0
"acrR.1",0.96,0.5,0,0.96,0,0,0
"ompF",1,1,1,1,1,1,1
"ompF.1",1,0.5,0,1,0,0,0
"pgaA",1,0.5,0,1,0,0,0
"mprA",1,0.5,0,1,0,0,0
"gyrA.1",0.96,0.5,0,0.96,0,0,0
"ftsI",1,0.5,0,1,0,0,0
"ompR",1,0.5,0,1,0,0,0
"yaaJ",1,0.5,0,1,0,0,0
"folA",1,0.5,0,1,0,0,0
"fusA.1",0.96,0.5,0,0.96,0,0,0
"envZ",1,0.5,0,1,0,0,0
"rpsE",1,1,1,1,1,1,1
"cyoA",1,0.5,0,1,0,0,0
"dcp",1,0.5,0,1,0,0,0
"ylbE.1",1,0.5,0,1,0,0,0
"trkH",1,0.5,0,1,0,0,0
